humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 17 C 1,W2AA17C1,AA,17,C,1,23,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 17 D 1,W2AA17D1,AA,17,D,1,24,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 18 A 1,W2AA18A1,AA,18,A,1,22,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 18 B 1,W2AA18B1,AA,18,B,1,23,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 18 C 1,W2AA18C1,AA,18,C,1,24,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 18 D 1,W2AA18D1,AA,18,D,1,25,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 19 A 1,W2AA19A1,AA,19,A,1,23,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 19 B 1,W2AA19B1,AA,19,B,1,24,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 19 C 1,W2AA19C1,AA,19,C,1,25,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 19 D 1,W2AA19D1,AA,19,D,1,26,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 20 A 1,W2AA20A1,AA,20,A,1,24,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 20 B 1,W2AA20B1,AA,20,B,1,25,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 20 C 1,W2AA20C1,AA,20,C,1,26,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 20 D 1,W2AA20D1,AA,20,D,1,27,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 21 A 1,W2AA21A1,AA,21,A,1,25,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 21 B 1,W2AA21B1,AA,21,B,1,26,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 21 C 1,W2AA21C1,AA,21,C,1,27,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 21 D 1,W2AA21D1,AA,21,D,1,28,C:\Users\ironman\Desktop\svgtopng\D1.png
